id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
1,Route B,WH3,4.9,12,Weather,2023-01-01
2,Route D,WH1,7.7,109,Traffic,2023-01-01
3,Route A,WH1,3.3,109,Mechanical Issue,2023-01-01
4,Route D,WH3,5.7,0,,2023-01-01
5,Route C,WH2,7.7,97,Weather,2023-01-02
6,Route C,WH2,5.0,93,Mechanical Issue,2023-01-02
7,Route B,WH1,5.6,51,Staff Shortage,2023-01-02
8,Route B,WH3,4.1,0,,2023-01-02
9,Route C,WH4,5.6,69,Staff Shortage,2023-01-02
10,Route D,WH4,7.5,45,Accident,2023-01-02
11,Route D,WH3,6.3,99,Mechanical Issue,2023-01-02
12,Route E,WH2,4.1,89,Accident,2023-01-03
13,Route A,WH3,4.9,104,Traffic,2023-01-03
14,Route C,WH4,3.4,39,Mechanical Issue,2023-01-03
15,Route B,WH2,4.5,108,Traffic,2023-01-04
16,Route A,WH2,5.7,102,Mechanical Issue,2023-01-04
17,Route B,WH1,5.9,56,Weather,2023-01-04
18,Route A,WH1,5.7,104,Weather,2023-01-04
19,Route D,WH2,3.4,32,Mechanical Issue,2023-01-04
20,Route A,WH1,3.2,0,,2023-01-04
21,Route D,WH3,7.4,67,Staff Shortage,2023-01-04
22,Route A,WH4,3.6,0,,2023-01-05
23,Route E,WH2,6.9,105,Mechanical Issue,2023-01-05
24,Route A,WH3,7.6,0,,2023-01-05
25,Route C,WH2,3.7,10,Accident,2023-01-06
26,Route A,WH4,6.8,72,Traffic,2023-01-06
27,Route A,WH2,6.7,17,Mechanical Issue,2023-01-06
28,Route E,WH4,6.2,94,Traffic,2023-01-06
29,Route B,WH4,5.7,0,,2023-01-07
30,Route D,WH1,5.5,80,Accident,2023-01-07
31,Route B,WH1,6.8,0,,2023-01-07
32,Route C,WH1,7.4,72,Mechanical Issue,2023-01-07
33,Route D,WH2,6.1,0,,2023-01-07
34,Route A,WH2,3.3,104,Traffic,2023-01-07
35,Route E,WH2,6.6,90,Staff Shortage,2023-01-07
36,Route D,WH3,3.1,58,Mechanical Issue,2023-01-08
37,Route C,WH3,5.7,78,Staff Shortage,2023-01-08
38,Route E,WH2,7.5,0,,2023-01-08
39,Route D,WH4,7.1,49,Weather,2023-01-08
40,Route D,WH1,3.2,59,Accident,2023-01-08
41,Route A,WH3,6.5,53,Staff Shortage,2023-01-08
42,Route B,WH2,5.8,75,Mechanical Issue,2023-01-08
43,Route E,WH2,4.3,40,Mechanical Issue,2023-01-08
44,Route D,WH3,5.6,14,Staff Shortage,2023-01-09
45,Route A,WH1,4.5,58,Accident,2023-01-09
46,Route D,WH1,5.5,0,,2023-01-09
47,Route D,WH1,3.3,22,Accident,2023-01-09
48,Route D,WH4,7.9,38,Mechanical Issue,2023-01-09
49,Route B,WH3,4.9,71,Accident,2023-01-09
50,Route A,WH1,6.1,19,Staff Shortage,2023-01-10
51,Route D,WH1,3.5,0,,2023-01-10
52,Route B,WH2,4.6,87,Staff Shortage,2023-01-10
53,Route B,WH2,4.2,106,Staff Shortage,2023-01-11
54,Route D,WH4,5.1,109,Weather,2023-01-11
55,Route D,WH3,3.4,0,,2023-01-11
56,Route B,WH3,6.7,98,Weather,2023-01-12
57,Route E,WH4,6.2,13,Staff Shortage,2023-01-12
58,Route A,WH2,5.4,62,Traffic,2023-01-12
59,Route A,WH2,4.3,0,,2023-01-12
60,Route E,WH1,3.8,77,Staff Shortage,2023-01-13
61,Route D,WH1,3.8,88,Weather,2023-01-13
62,Route E,WH4,6.9,29,Weather,2023-01-13
63,Route D,WH2,4.5,55,Accident,2023-01-13
64,Route C,WH4,7.6,14,Traffic,2023-01-13
65,Route D,WH1,7.2,6,Staff Shortage,2023-01-13
66,Route C,WH3,3.5,0,,2023-01-13
67,Route B,WH4,7.6,75,Mechanical Issue,2023-01-13
68,Route B,WH4,5.9,51,Mechanical Issue,2023-01-14
69,Route B,WH4,6.3,87,Weather,2023-01-14
70,Route D,WH3,3.7,0,,2023-01-14
71,Route E,WH1,4.4,0,,2023-01-14
72,Route C,WH1,7.4,94,Accident,2023-01-14
73,Route E,WH3,5.9,10,Staff Shortage,2023-01-14
74,Route B,WH4,4.3,6,Mechanical Issue,2023-01-14
75,Route A,WH1,4.4,107,Mechanical Issue,2023-01-15
76,Route B,WH4,4.4,96,Accident,2023-01-15
77,Route B,WH2,7.6,87,Weather,2023-01-15
78,Route A,WH1,4.2,29,Mechanical Issue,2023-01-15
79,Route C,WH3,7.1,62,Accident,2023-01-15
80,Route C,WH2,6.6,45,Accident,2023-01-15
81,Route A,WH2,7.5,44,Staff Shortage,2023-01-15
82,Route B,WH4,7.4,45,Staff Shortage,2023-01-15
83,Route A,WH3,3.9,0,,2023-01-16
84,Route B,WH1,3.6,104,Weather,2023-01-16
85,Route C,WH3,6.5,63,Weather,2023-01-16
86,Route C,WH1,5.7,91,Mechanical Issue,2023-01-16
87,Route E,WH3,3.6,41,Staff Shortage,2023-01-16
88,Route A,WH1,8.0,106,Accident,2023-01-16
89,Route E,WH4,7.0,38,Mechanical Issue,2023-01-16
90,Route C,WH1,3.2,0,,2023-01-17
91,Route A,WH2,7.7,76,Staff Shortage,2023-01-17
92,Route A,WH2,3.7,68,Mechanical Issue,2023-01-17
93,Route A,WH1,3.9,109,Staff Shortage,2023-01-17
94,Route D,WH4,6.1,115,Mechanical Issue,2023-01-17
95,Route D,WH1,5.7,94,Accident,2023-01-18
96,Route E,WH4,7.5,26,Staff Shortage,2023-01-18
97,Route B,WH1,5.7,96,Weather,2023-01-18
98,Route A,WH1,5.4,19,Accident,2023-01-18
99,Route B,WH1,5.3,23,Accident,2023-01-18
100,Route C,WH4,7.3,79,Staff Shortage,2023-01-18
101,Route E,WH1,3.2,27,Accident,2023-01-18
102,Route D,WH2,4.2,38,Mechanical Issue,2023-01-19
103,Route B,WH2,7.4,0,,2023-01-19
104,Route A,WH4,7.3,103,Mechanical Issue,2023-01-19
105,Route C,WH4,7.6,36,Accident,2023-01-19
106,Route C,WH2,5.8,35,Staff Shortage,2023-01-19
107,Route C,WH1,5.3,54,Traffic,2023-01-20
108,Route B,WH1,6.7,0,,2023-01-20
109,Route C,WH4,7.3,27,Mechanical Issue,2023-01-20
110,Route B,WH4,5.5,67,Staff Shortage,2023-01-20
111,Route C,WH1,3.5,118,Mechanical Issue,2023-01-20
112,Route A,WH4,7.7,0,,2023-01-21
113,Route B,WH3,4.0,34,Mechanical Issue,2023-01-21
114,Route C,WH2,7.7,52,Staff Shortage,2023-01-21
115,Route D,WH4,7.0,104,Weather,2023-01-21
116,Route C,WH2,7.4,76,Mechanical Issue,2023-01-22
117,Route B,WH4,5.7,32,Mechanical Issue,2023-01-22
118,Route E,WH2,5.9,0,,2023-01-22
119,Route B,WH3,4.4,81,Staff Shortage,2023-01-23
120,Route C,WH4,7.1,33,Accident,2023-01-23
121,Route B,WH1,3.1,17,Accident,2023-01-23
122,Route C,WH1,6.9,68,Traffic,2023-01-23
123,Route B,WH2,7.1,41,Weather,2023-01-23
124,Route D,WH3,6.5,0,,2023-01-23
125,Route A,WH4,5.4,117,Accident,2023-01-23
126,Route C,WH2,5.9,91,Weather,2023-01-24
127,Route A,WH2,6.9,0,,2023-01-24
128,Route E,WH2,6.7,39,Staff Shortage,2023-01-24
129,Route E,WH1,5.3,46,Mechanical Issue,2023-01-24
130,Route A,WH1,5.1,98,Mechanical Issue,2023-01-24
131,Route A,WH2,5.5,0,,2023-01-25
132,Route A,WH2,6.0,47,Accident,2023-01-25
133,Route E,WH1,5.4,48,Mechanical Issue,2023-01-25
134,Route C,WH2,6.9,61,Staff Shortage,2023-01-25
135,Route E,WH4,3.8,81,Accident,2023-01-25
136,Route E,WH1,5.7,75,Accident,2023-01-26
137,Route D,WH4,3.2,46,Staff Shortage,2023-01-26
138,Route C,WH3,5.0,42,Staff Shortage,2023-01-26
139,Route B,WH2,6.9,0,,2023-01-26
140,Route E,WH2,3.1,67,Traffic,2023-01-26
141,Route B,WH3,5.0,58,Traffic,2023-01-26
142,Route D,WH1,7.3,46,Weather,2023-01-27
143,Route C,WH1,4.5,9,Accident,2023-01-27
144,Route B,WH4,7.1,102,Staff Shortage,2023-01-27
145,Route B,WH4,6.7,0,,2023-01-27
146,Route C,WH1,6.3,0,,2023-01-27
147,Route D,WH2,7.2,0,,2023-01-27
148,Route B,WH2,5.5,56,Mechanical Issue,2023-01-27
149,Route A,WH2,6.1,79,Traffic,2023-01-28
150,Route D,WH3,7.3,47,Staff Shortage,2023-01-28
151,Route B,WH4,5.5,104,Weather,2023-01-28
152,Route B,WH1,4.1,105,Weather,2023-01-28
153,Route D,WH3,5.4,15,Traffic,2023-01-28
154,Route C,WH1,7.5,104,Weather,2023-01-29
155,Route D,WH2,7.2,116,Weather,2023-01-29
156,Route A,WH4,6.4,0,,2023-01-29
157,Route A,WH1,4.6,80,Mechanical Issue,2023-01-29
158,Route A,WH1,5.8,40,Accident,2023-01-29
159,Route E,WH1,3.2,74,Traffic,2023-01-30
160,Route E,WH1,7.1,56,Mechanical Issue,2023-01-30
161,Route A,WH4,7.8,108,Weather,2023-01-30
162,Route E,WH3,3.3,38,Weather,2023-01-30
163,Route C,WH4,6.3,31,Traffic,2023-01-30
164,Route A,WH1,5.8,97,Weather,2023-01-31
165,Route B,WH2,7.7,102,Traffic,2023-01-31
166,Route A,WH1,6.1,45,Mechanical Issue,2023-01-31
167,Route B,WH2,3.6,116,Accident,2023-01-31
168,Route C,WH2,3.4,0,,2023-01-31
169,Route D,WH3,3.0,56,Mechanical Issue,2023-01-31
170,Route B,WH2,6.3,22,Weather,2023-01-31
171,Route B,WH1,6.6,55,Traffic,2023-01-31
172,Route B,WH4,5.5,14,Traffic,2023-02-01
173,Route D,WH3,3.5,6,Accident,2023-02-01
174,Route C,WH2,5.5,62,Staff Shortage,2023-02-01
175,Route A,WH2,5.5,16,Staff Shortage,2023-02-02
176,Route B,WH2,6.5,58,Traffic,2023-02-02
177,Route E,WH3,3.8,6,Staff Shortage,2023-02-02
178,Route E,WH3,6.2,63,Weather,2023-02-02
179,Route D,WH1,3.4,0,,2023-02-02
180,Route D,WH3,7.8,40,Staff Shortage,2023-02-03
181,Route D,WH1,6.6,25,Traffic,2023-02-03
