iter	Passed	Remaining
0	0	465
1	2	510
2	3	525
3	4	523
4	5	528
5	6	521
6	7	512
7	7	486
8	9	499
9	10	506
10	11	507
11	12	504
12	13	510
13	14	510
14	15	503
15	16	484
16	16	477
17	17	472
18	18	469
19	19	463
20	20	457
21	20	451
22	21	446
23	22	444
24	22	436
25	23	431
26	24	428
27	25	427
28	26	422
29	26	418
30	27	419
31	28	421
32	29	419
33	30	420
34	31	421
35	32	423
36	33	423
37	34	424
38	35	425
39	36	424
40	37	423
41	38	423
42	39	421
43	40	417
44	40	410
45	41	405
46	41	404
47	42	399
48	43	397
49	43	394
50	44	391
51	45	390
52	46	388
53	46	386
54	47	384
55	48	386
56	49	384
57	50	381
58	50	376
59	51	374
60	51	368
61	51	366
62	52	364
63	53	361
64	53	359
65	54	358
66	54	354
67	55	353
68	56	352
69	56	350
70	57	346
71	57	343
72	59	345
73	59	343
74	60	341
75	60	338
76	61	337
77	61	334
78	62	333
79	63	331
80	63	330
81	64	328
82	64	325
83	65	324
84	66	322
85	66	321
86	67	320
87	67	318
88	68	316
89	68	314
90	69	312
91	69	309
92	70	307
93	70	305
94	71	303
95	71	301
96	71	298
97	72	296
98	72	294
99	73	292
100	73	290
101	74	289
102	74	288
103	75	286
104	75	284
105	75	282
106	76	280
107	76	278
108	77	277
109	77	275
110	78	273
111	78	271
112	78	270
113	79	268
114	79	266
115	80	265
116	80	263
117	80	261
118	81	260
119	81	258
120	81	256
121	82	254
122	82	253
123	83	252
124	83	250
125	84	249
126	84	248
127	84	246
128	85	245
129	85	244
130	86	242
131	86	241
132	86	239
133	87	237
134	87	236
135	87	234
136	87	233
137	88	231
138	88	230
139	89	228
140	89	227
141	89	226
142	90	224
143	90	223
144	90	222
145	90	220
146	91	219
147	91	217
148	91	216
149	92	214
150	92	213
151	92	212
152	93	211
153	93	209
154	93	208
155	93	207
156	94	206
157	94	204
158	94	203
159	95	202
160	95	201
161	95	199
162	96	198
163	96	197
164	96	196
165	97	195
166	97	194
167	97	192
168	97	191
169	98	190
170	98	189
171	98	188
172	98	186
173	99	185
174	99	184
175	99	183
176	99	182
177	100	181
178	100	180
179	100	179
180	100	178
181	101	176
182	101	175
183	101	174
184	102	173
185	102	172
186	102	171
187	103	170
188	103	169
189	103	169
190	103	168
191	104	167
192	104	166
193	104	165
194	104	164
195	105	163
196	105	162
197	105	161
198	106	160
199	106	159
200	106	158
201	106	157
202	107	156
203	107	155
204	107	154
205	107	153
206	108	152
207	108	152
208	108	151
209	108	150
210	109	149
211	109	148
212	109	147
213	109	146
214	109	145
215	110	144
216	110	143
217	110	143
218	110	142
219	111	141
220	111	140
221	111	139
222	111	138
223	111	137
224	112	136
225	112	136
226	112	135
227	112	134
228	112	133
229	113	132
230	113	131
231	113	131
232	113	130
233	113	129
234	114	128
235	114	127
236	114	127
237	114	126
238	114	125
239	115	124
240	115	123
241	115	123
242	115	122
243	115	121
244	116	120
245	116	120
246	116	119
247	116	118
248	117	117
249	117	117
250	117	116
251	117	115
252	117	115
253	118	114
254	118	113
255	118	112
256	118	112
257	118	111
258	119	110
259	119	110
260	119	109
261	119	108
262	119	108
263	120	107
264	120	106
265	120	105
266	120	105
267	120	104
268	120	103
269	121	103
270	121	102
271	121	101
272	121	101
273	121	100
274	122	99
275	122	99
276	122	98
277	122	97
278	122	97
279	123	96
280	123	96
281	123	95
282	123	94
283	123	94
284	123	93
285	124	92
286	124	92
287	124	91
288	124	91
289	124	90
290	125	89
291	125	89
292	125	88
293	125	88
294	125	87
295	126	86
296	126	86
297	126	85
298	126	85
299	126	84
300	127	83
301	127	83
302	127	82
303	127	82
304	127	81
305	127	81
306	128	80
307	128	80
308	128	79
309	128	78
310	128	78
311	129	77
312	129	77
313	129	76
314	130	76
315	130	75
316	130	75
317	130	74
318	130	74
319	131	73
320	131	73
321	131	72
322	131	72
323	131	71
324	132	71
325	132	70
326	132	70
327	132	69
328	133	69
329	133	68
330	133	68
331	133	67
332	133	67
333	134	66
334	134	66
335	134	65
336	134	65
337	134	64
338	135	64
339	135	63
340	135	63
341	135	62
342	135	62
343	135	61
344	136	61
345	136	60
346	136	60
347	136	59
348	136	59
349	137	58
350	137	58
351	137	57
352	137	57
353	137	56
354	138	56
355	138	55
356	138	55
357	138	54
358	138	54
359	139	54
360	139	53
361	139	53
362	139	52
363	139	52
364	139	51
365	140	51
366	140	50
367	140	50
368	140	49
369	140	49
370	141	49
371	141	48
372	141	48
373	141	47
374	142	47
375	142	46
376	142	46
377	142	46
378	142	45
379	143	45
380	143	44
381	143	44
382	143	43
383	143	43
384	144	43
385	144	42
386	144	42
387	144	41
388	144	41
389	145	40
390	145	40
391	145	40
392	145	39
393	145	39
394	146	38
395	146	38
396	146	38
397	146	37
398	146	37
399	147	36
400	147	36
401	147	35
402	147	35
403	147	35
404	148	34
405	148	34
406	148	33
407	148	33
408	148	33
409	149	32
410	149	32
411	149	31
412	149	31
413	149	31
414	150	30
415	150	30
416	150	29
417	150	29
418	150	29
419	150	28
420	151	28
421	151	27
422	151	27
423	151	27
424	151	26
425	152	26
426	152	26
427	152	25
428	152	25
429	152	24
430	153	24
431	153	24
432	153	23
433	153	23
434	153	22
435	154	22
436	154	22
437	154	21
438	154	21
439	154	21
440	155	20
441	155	20
442	155	20
443	155	19
444	155	19
445	156	18
446	156	18
447	156	18
448	156	17
449	156	17
450	157	17
451	157	16
452	157	16
453	157	15
454	157	15
455	158	15
456	158	14
457	158	14
458	158	14
459	158	13
460	159	13
461	159	13
462	159	12
463	159	12
464	159	12
465	160	11
466	160	11
467	160	10
468	160	10
469	160	10
470	160	9
471	161	9
472	161	9
473	161	8
474	161	8
475	162	8
476	162	7
477	162	7
478	162	7
479	162	6
480	162	6
481	163	6
482	163	5
483	163	5
484	163	5
485	163	4
486	164	4
487	164	4
488	164	3
489	164	3
490	164	3
491	165	2
492	165	2
493	165	2
494	165	1
495	165	1
496	166	1
497	166	0
498	166	0
499	166	0
